date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:21:23	1003/1003	---M--	200	added ('OK')	application/javascript	etag:%223eb-59c00fc1eab86%22	https://www.designesia.com/themes/archi-main/js/jquery.scrollto.js	C:/My%20Web%20Sites/interior/www.designesia.com/themes/archi-main/js/jquery.scrollto.js	(from https://www.designesia.com/themes/archi-main/index-onepage-light.html)
15:21:24	44342/44342	---M--	200	added ('OK')	application/javascript	etag:%22ad36-59c00fc591480%22	https://www.designesia.com/themes/archi-main/js/owl.carousel.js	C:/My%20Web%20Sites/interior/www.designesia.com/themes/archi-main/js/owl.carousel.js	(from https://www.designesia.com/themes/archi-main/index-onepage-light.html)
15:21:25	2501/2501	---M--	200	added ('OK')	application/javascript	etag:%229c5-59c00fbd91732%22	https://www.designesia.com/themes/archi-main/js/jquery.countTo.js	C:/My%20Web%20Sites/interior/www.designesia.com/themes/archi-main/js/jquery.countTo.js	(from https://www.designesia.com/themes/archi-main/index-onepage-light.html)
15:21:25	1872/1872	---M--	200	added ('OK')	application/javascript	etag:%22750-59c00fb85d6e8%22	https://www.designesia.com/themes/archi-main/js/classie.js	C:/My%20Web%20Sites/interior/www.designesia.com/themes/archi-main/js/classie.js	(from https://www.designesia.com/themes/archi-main/index-onepage-light.html)
15:21:25	2310/2310	---M--	200	added ('OK')	application/javascript	etag:%22906-59c00fc862f43%22	https://www.designesia.com/themes/archi-main/js/video.resize.js	C:/My%20Web%20Sites/interior/www.designesia.com/themes/archi-main/js/video.resize.js	(from https://www.designesia.com/themes/archi-main/index-onepage-light.html)
15:21:25	2717/2717	---M--	200	added ('OK')	application/javascript	etag:%22a9d-59c00fc7e0188%22	https://www.designesia.com/themes/archi-main/js/validation.js	C:/My%20Web%20Sites/interior/www.designesia.com/themes/archi-main/js/validation.js	(from https://www.designesia.com/themes/archi-main/index-onepage-light.html)
15:21:26	2029/2029	---M--	200	added ('OK')	application/javascript	etag:%227ed-59c00fc44d10d%22	https://www.designesia.com/themes/archi-main/js/map.js	C:/My%20Web%20Sites/interior/www.designesia.com/themes/archi-main/js/map.js	(from https://www.designesia.com/themes/archi-main/index-onepage-light.html)
15:21:26	7154/7154	---M--	200	added ('OK')	application/javascript	etag:%221bf2-59c00fc89d8c1%22	https://www.designesia.com/themes/archi-main/js/wow.min.js	C:/My%20Web%20Sites/interior/www.designesia.com/themes/archi-main/js/wow.min.js	(from https://www.designesia.com/themes/archi-main/index-onepage-light.html)
15:21:27	21143/21143	---M--	200	added ('OK')	application/javascript	etag:%225297-59c00fbfb54bc%22	https://www.designesia.com/themes/archi-main/js/jquery.magnific-popup.min.js	C:/My%20Web%20Sites/interior/www.designesia.com/themes/archi-main/js/jquery.magnific-popup.min.js	(from https://www.designesia.com/themes/archi-main/index-onepage-light.html)
15:21:27	12506/12506	---M--	200	added ('OK')	application/javascript	etag:%2230da-59c00fc2a637e%22	https://www.designesia.com/themes/archi-main/js/jquery.stellar.min.js	C:/My%20Web%20Sites/interior/www.designesia.com/themes/archi-main/js/jquery.stellar.min.js	(from https://www.designesia.com/themes/archi-main/index-onepage-light.html)
15:21:28	2254/2254	---M--	200	added ('OK')	application/javascript	etag:%228ce-59c00fba90e71%22	https://www.designesia.com/themes/archi-main/js/enquire.min.js	C:/My%20Web%20Sites/interior/www.designesia.com/themes/archi-main/js/enquire.min.js	(from https://www.designesia.com/themes/archi-main/index-onepage-light.html)
15:21:28	3418/3418	---M--	200	added ('OK')	application/javascript	etag:%22d5a-59b7c2b0dcc24%22	https://www.designesia.com/themes/archi-main/demo/demo.js	C:/My%20Web%20Sites/interior/www.designesia.com/themes/archi-main/demo/demo.js	(from https://www.designesia.com/themes/archi-main/index-onepage-light.html)
15:21:29	41715/41715	---M--	200	added ('OK')	application/javascript	etag:%22a2f3-59c00fb9ba0fa%22	https://www.designesia.com/themes/archi-main/js/designesia.js	C:/My%20Web%20Sites/interior/www.designesia.com/themes/archi-main/js/designesia.js	(from https://www.designesia.com/themes/archi-main/index-onepage-light.html)
15:21:30	85185/85185	---M--	200	added ('OK')	application/javascript	etag:%2214cc1-59b7c3e298817%22	https://www.designesia.com/themes/archi-main/rs-plugin/js/jquery.themepunch.plugins.min.js	C:/My%20Web%20Sites/interior/www.designesia.com/themes/archi-main/rs-plugin/js/jquery.themepunch.plugins.min.js	(from https://www.designesia.com/themes/archi-main/index-onepage-light.html)
15:21:31	315/315	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2028%20Feb%202020%2009:50:49%20GMT	https://www.designesia.com/themes/archi-main/images/ui.totop.png	C:/My%20Web%20Sites/interior/www.designesia.com/themes/archi-main/images/ui.totop.42.delayed	(from https://www.designesia.com/themes/archi-main/css/plugin.css)
15:21:31	315/315	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2028%20Feb%202020%2009:50:49%20GMT	https://www.designesia.com/themes/archi-main/css/owl.video.play.png	C:/My%20Web%20Sites/interior/www.designesia.com/themes/archi-main/css/owl.video.play.png	(from https://www.designesia.com/themes/archi-main/css/owl.carousel.css)
15:21:31	2792/2792	---M--	200	added ('OK')	image/png	etag:%22ae8-59b9f0e0cd81f%22	https://www.designesia.com/themes/archi-main/images/dot-70.png	C:/My%20Web%20Sites/interior/www.designesia.com/themes/archi-main/images/dot-70.png	(from https://www.designesia.com/themes/archi-main/css/style.css)
15:21:32	2818/2818	---M--	200	added ('OK')	image/png	etag:%22b02-59b9f0e116bfc%22	https://www.designesia.com/themes/archi-main/images/dotted.png	C:/My%20Web%20Sites/interior/www.designesia.com/themes/archi-main/images/dotted.png	(from https://www.designesia.com/themes/archi-main/css/style.css)
15:21:32	90102/90102	---M--	200	added ('OK')	application/javascript	etag:%2215ff6-59b7c3e41f206%22	https://www.designesia.com/themes/archi-main/rs-plugin/js/jquery.themepunch.revolution.min.js	C:/My%20Web%20Sites/interior/www.designesia.com/themes/archi-main/rs-plugin/js/jquery.themepunch.revolution.min.js	(from https://www.designesia.com/themes/archi-main/index-onepage-light.html)
15:21:32	315/315	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2028%20Feb%202020%2009:50:50%20GMT	https://www.designesia.com/themes/archi-main/images/icon-slide-plus.png	C:/My%20Web%20Sites/interior/www.designesia.com/themes/archi-main/images/icon-slide-plus.png	(from https://www.designesia.com/themes/archi-main/css/style.css)
15:21:32	315/315	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2028%20Feb%202020%2009:50:51%20GMT	https://www.designesia.com/themes/archi-main/images/icon-slide-min.png	C:/My%20Web%20Sites/interior/www.designesia.com/themes/archi-main/images/icon-slide-min.png	(from https://www.designesia.com/themes/archi-main/css/style.css)
15:21:33	315/315	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2028%20Feb%202020%2009:50:51%20GMT	https://www.designesia.com/themes/archi-main/images/close.png	C:/My%20Web%20Sites/interior/www.designesia.com/themes/archi-main/images/close.png	(from https://www.designesia.com/themes/archi-main/css/style.css)
15:21:33	315/315	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2028%20Feb%202020%2009:50:51%20GMT	https://www.designesia.com/themes/archi-main/images/close-2.png	C:/My%20Web%20Sites/interior/www.designesia.com/themes/archi-main/images/close-2.png	(from https://www.designesia.com/themes/archi-main/css/style.css)
15:21:33	315/315	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2028%20Feb%202020%2009:50:52%20GMT	https://www.designesia.com/themes/archi-main/images/icon-url.png	C:/My%20Web%20Sites/interior/www.designesia.com/themes/archi-main/images/icon-url.png	(from https://www.designesia.com/themes/archi-main/css/style.css)
15:21:34	315/315	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2028%20Feb%202020%2009:50:52%20GMT	https://www.designesia.com/themes/archi-main/images/icon-zoom.png	C:/My%20Web%20Sites/interior/www.designesia.com/themes/archi-main/images/icon-zoom.png	(from https://www.designesia.com/themes/archi-main/css/style.css)
15:21:34	315/315	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2028%20Feb%202020%2009:50:52%20GMT	https://www.designesia.com/themes/archi-main/images/list-arrow.png	C:/My%20Web%20Sites/interior/www.designesia.com/themes/archi-main/images/list-arrow.png	(from https://www.designesia.com/themes/archi-main/css/style.css)
15:21:34	315/315	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2028%20Feb%202020%2009:50:53%20GMT	https://www.designesia.com/themes/archi-main/images/page-loader.gif	C:/My%20Web%20Sites/interior/www.designesia.com/themes/archi-main/images/page-loader.gif	(from https://www.designesia.com/themes/archi-main/css/style.css)
15:21:35	2922/2922	---M--	200	added ('OK')	image/png	etag:%22b6a-59b7c2afd70af%22	https://www.designesia.com/themes/archi-main/demo/arrow-down.png	C:/My%20Web%20Sites/interior/www.designesia.com/themes/archi-main/demo/arrow-down.png	(from https://www.designesia.com/themes/archi-main/css/style.css)
15:21:35	17736/17736	---M--	200	added ('OK')	image/png	etag:%224548-59b9f1b34ab59%22	https://www.designesia.com/themes/archi-main/images/ui/arrow-down.png	C:/My%20Web%20Sites/interior/www.designesia.com/themes/archi-main/images/ui/arrow-down.png	(from https://www.designesia.com/themes/archi-main/css/style.css)
15:21:36	18266/18266	---M--	200	added ('OK')	image/png	etag:%22475a-59b9f1b287661%22	https://www.designesia.com/themes/archi-main/images/ui/arrow-down-invert.png	C:/My%20Web%20Sites/interior/www.designesia.com/themes/archi-main/images/ui/arrow-down-invert.png	(from https://www.designesia.com/themes/archi-main/css/style.css)
15:21:37	17732/17732	---M--	200	added ('OK')	image/png	etag:%224544-59b9f1b49f86b%22	https://www.designesia.com/themes/archi-main/images/ui/arrow-up.png	C:/My%20Web%20Sites/interior/www.designesia.com/themes/archi-main/images/ui/arrow-up.png	(from https://www.designesia.com/themes/archi-main/css/style.css)
